year,selling_price,km_driven
2012,6000.0,100000
2012,6000.0,100000
2016,6900.0,80000
2008,1200.0,90000
2013,5500.0,29000
2015,5000.0,25000
2018,9000.0,24000
2018,9000.0,25000
2017,3300.0,80577
2011,3000.0,127500
2008,1950.0,90000
2013,4849.99,65000
2017,11000.0,10000
2015,7600.0,55340
2015,7600.0,55340
2015,7600.0,55340
2015,7600.0,55340
2015,7600.0,55340
2007,1550.0,100000
2013,4950.0,100000
2008,2500.0,110000
2012,4099.99,60000
2012,3900.0,86000
2013,4250.0,59319
2014,5500.0,50000
2019,12000.0,25000
2016,7700.0,10000
2013,5300.0,89000
2018,11500.0,26430
2011,2600.0,125000
2013,6200.0,70000
2011,4500.0,60000
2015,7600.0,55340
2015,7600.0,55340
2017,9000.0,50000
2018,11000.0,30000
2012,4099.99,120000
2007,1550.0,65000
2008,1500.0,70950
2009,2700.0,80000
2013,4250.0,66000
2007,1500.0,84000
2018,12000.0,60000
2016,8500.0,75000
2012,4500.0,110000
2012,5500.0,80000
2017,6500.0,23000
2015,6000.0,35000
2015,6000.0,30000
2018,9500.0,41395
2012,5750.0,89550
2009,1750.0,136000
2010,3250.0,135000
2013,3700.0,60000
2013,5800.0,45264
2012,5000.0,72000
2015,7600.0,55340
2012,3120.0,90000
2010,2299.9900000000002,120000
2018,8000.0,40000
2013,3150.0,80000
2008,2200.0,54309
2011,5000.0,31000
2007,1750.0,80000
2013,3350.0,110000
2008,1200.0,90000
2011,3700.0,55168
2012,4650.0,70070
2010,2000.0,78000
2011,2100.0,72000
2013,4300.0,100000
2017,11000.0,10000
2015,7600.0,55340
2015,7600.0,55340
2015,7600.0,55340
2010,1900.0,38000
2007,1750.0,80000
2019,12950.0,9000
2018,11500.0,26430
2013,5500.0,42324
2019,10000.0,25000
2012,3900.0,90000
2012,5000.0,26000
2014,5500.0,100000
2014,6000.0,50000
2012,4800.0,80000
2015,7600.0,55340
2014,6500.0,70000
2010,2800.0,120000
2011,3900.0,90000
2016,6900.0,73000
2017,12000.0,40000
2015,7650.0,80000
2009,3250.0,25000
2008,2299.9900000000002,146000
2018,11500.0,26430
2012,5000.0,130000
2017,7990.0,31707
2009,2000.0,60000
2017,9000.0,50000
2012,4700.0,109052
2009,2450.0,75000
2018,8600.0,30000
2013,5250.0,71000
2016,6200.0,60000
2007,1230.0,50000
2014,4500.0,78000
2019,11000.0,100000
2014,5500.0,50000
2012,4349.99,235000
2009,1600.0,90000
2014,6000.0,50000
2010,2299.9900000000002,70000
2012,3000.0,40000
2012,5200.0,35000
2015,5000.0,25000
2009,2450.0,75000
2017,10500.0,31000
2010,3000.0,130000
2007,1550.0,65000
2007,1230.0,50000
2014,6750.0,61000
2007,2120.0,58000
2017,5300.0,64916
2013,4849.99,65000
2018,11000.0,25000
2018,11000.0,25000
2010,1900.0,38000
2013,5000.0,120000
